target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1608	2	26.378
F27C8.1	1940	1761	0	0
F07C3.7	1728	1549	0	0
F52H2.2	1739	1560	1	13.5948
T13A10.10a	1734	1555	0	0
T13A10.10b	1598	1419	0	0
C55C2.5a	1840	1661	0	0
C55C2.5b	1606	1427	0	0
C55C2.5c	1671	1492	0	0
C55C2.5d	1618	1439	0	0
T11F9.4a	1765	1586	0	0
T11F9.4b.1	1684	1505	0	0
T11F9.4b.2	1784	1605	0	0
F54D12.3	1503	1324	0	0
F28F9.4	1452	1273	0	0
Y53H1C.1a	2022	1843	4.83353	55.6208
Y53H1C.1b	1958	1779	0	0
C50F2.9	258	79.3918	0	0
C50F2.10	414	235	0	0
F54B8.5	270	91.1266	0	0
Y38H6C.22	381	202	0	0
T22H6.5	484	305	0	0
T22H6.7	646	467	0	0
M79.1a	4081	3902	1.26294e-08	6.86428e-08
M79.1b	4012	3833	0.036609	0.202557
M79.1c	3997	3818	0.963391	5.35137
C24F3.5a	4715	4536	0	0
C24F3.5b	4726	4547	0	0
F12B6.1a	6670	6491	0	0
F12B6.1b	6559	6380	0	0
Y39D8C.1	5545	5366	0	0
Y53C10A.9	4724	4545	0	0
AC3.3	1403	1224	0	0
F19G12.7	1719	1540	0	0
F31A3.1	729	550	0	0
Y5H2A.3	1020	841	0	0
Y105C5A.4	1008	829	0	0
C03A7.7	1174	995	0	0
C03A7.8	1317	1138	0	0
C03A7.14	1525	1346	0	0
R09F10.2	1137	958	0	0
F35A5.3	1271	1092	0	0
T01D1.6	1273	1094	0	0
W09B12.1.1	1984	1805	0	0
W09B12.1.2	2525	2346	0	0
Y44E3A.2	1995	1816	2	23.3567
Y48B6A.8	2168	1989	0	0
Y48B6A.7	1930	1751	0	0
C42D8.5a	3282	3103	1	6.83465
C42D8.5b	1560	1381	0	0
ZK455.1	3072	2893	13	95.3
F54H12.1a	2709	2530	20	167.652
F54H12.1b	2365	2186	0	0
